solver,admitted,objective,avg_latency_ms,avg_energy_mJ,total_latency_ms,total_energy_mJ,feasible,solve_time_s,U,seed
proposed_two_stage,1,0.996768,3.125,0.1067,3.125,0.1067,True,0.0009,5,42
random,1,0.998006,1.8873,0.1067,1.8873,0.1067,True,0.0008,5,42
greedy_latency,1,0.998006,1.8873,0.1067,1.8873,0.1067,True,0.0009,5,42
greedy_energy,1,0.996768,3.125,0.1067,3.125,0.1067,True,0.0007,5,42
latency_only,1,0.998113,1.8873,0.1067,1.8873,0.1067,True,0.0007,5,42
energy_only,1,0.999893,3.125,0.1067,3.125,0.1067,True,0.001,5,42
proposed_two_stage,1,0.991721,6.5051,1.7741,6.5051,1.7741,True,0.0012,5,43
random,1,0.991428,6.7978,1.7741,6.7978,1.7741,True,0.001,5,43
greedy_latency,1,0.991721,6.5051,1.7741,6.5051,1.7741,True,0.0009,5,43
greedy_energy,1,0.991428,6.7977,1.7741,6.7977,1.7741,True,0.0007,5,43
latency_only,1,0.993495,6.5051,1.7741,6.5051,1.7741,True,0.0006,5,43
energy_only,1,0.998226,6.5051,1.7741,6.5051,1.7741,True,0.0006,5,43
proposed_two_stage,1,0.998057,1.9143,0.029,1.9143,0.029,True,0.0009,5,44
random,1,0.994322,4.3926,1.285,4.3926,1.285,True,0.0009,5,44
greedy_latency,1,0.998057,1.9143,0.029,1.9143,0.029,True,0.0006,5,44
greedy_energy,1,0.997455,2.5156,0.029,2.5156,0.029,True,0.0006,5,44
latency_only,1,0.997484,2.5156,0.029,2.5156,0.029,True,0.0007,5,44
energy_only,1,0.999971,1.9143,0.029,1.9143,0.029,True,0.0011,5,44
proposed_two_stage,0,0.0,0.0,0.0,0.0,0.0,True,0.0004,5,45
random,0,0.0,0.0,0.0,0.0,0.0,True,0.0003,5,45
greedy_latency,0,0.0,0.0,0.0,0.0,0.0,True,0.0002,5,45
greedy_energy,0,0.0,0.0,0.0,0.0,0.0,True,0.0002,5,45
latency_only,0,0.0,0.0,0.0,0.0,0.0,True,0.0003,5,45
energy_only,0,0.0,0.0,0.0,0.0,0.0,True,0.0003,5,45
proposed_two_stage,1,0.997391,2.4776,0.1314,2.4776,0.1314,True,0.0014,5,46
random,1,0.993359,5.661,0.9795,5.661,0.9795,True,0.0012,5,46
greedy_latency,1,0.997391,2.4776,0.1314,2.4776,0.1314,True,0.0011,5,46
greedy_energy,1,0.997855,2.0139,0.1314,2.0139,0.1314,True,0.0009,5,46
latency_only,1,0.997831,2.1686,0.1314,2.1686,0.1314,True,0.001,5,46
energy_only,1,0.999869,2.4776,0.1314,2.4776,0.1314,True,0.001,5,46
proposed_two_stage,2,1.984704,6.5985,1.0493,13.197,2.0987,True,0.002,10,42
random,0,0.0,0.0,0.0,0.0,0.0,True,0.0004,10,42
greedy_latency,2,1.995288,2.1844,0.1717,4.3687,0.3435,True,0.0016,10,42
greedy_energy,2,1.989827,4.9146,0.1717,9.8291,0.3435,True,0.001,10,42
latency_only,2,1.986803,6.5985,1.0493,13.197,2.0987,True,0.0011,10,42
energy_only,2,1.997901,6.5985,1.0493,13.197,2.0987,True,0.0011,10,42
proposed_two_stage,2,1.989881,4.538,0.5215,9.076,1.043,True,0.0012,10,43
random,2,1.992903,3.2944,0.254,6.5888,0.5081,True,0.0011,10,43
greedy_latency,2,1.991337,4.0774,0.254,8.1549,0.5081,True,0.0012,10,43
greedy_energy,2,1.989243,5.1247,0.254,10.2494,0.5081,True,0.001,10,43
latency_only,2,1.991845,4.0774,0.254,8.1549,0.5081,True,0.0011,10,43
energy_only,2,1.998957,4.538,0.5215,9.076,1.043,True,0.0011,10,43
proposed_two_stage,1,0.995461,4.0699,0.4689,4.0699,0.4689,True,0.0008,10,44
random,2,1.981542,8.1283,1.1008,16.2566,2.2015,False,0.0013,10,44
greedy_latency,2,1.992464,3.4996,0.2682,6.9992,0.5364,True,0.001,10,44
greedy_energy,2,1.988608,5.428,0.2682,10.8559,0.5364,True,0.0012,10,44
latency_only,2,1.989144,5.428,0.2682,10.8559,0.5364,True,0.001,10,44
energy_only,1,0.999531,4.0699,0.4689,4.0699,0.4689,True,0.0007,10,44
proposed_two_stage,2,1.993467,2.9071,0.3593,5.8143,0.7187,True,0.0012,10,45
random,1,0.996186,3.1995,0.6149,3.1995,0.6149,True,0.0007,10,45
greedy_latency,2,1.993975,2.653,0.3593,5.3061,0.7187,True,0.0009,10,45
greedy_energy,2,1.991341,3.9701,0.3593,7.9402,0.7187,True,0.0009,10,45
latency_only,2,1.988908,5.5458,1.4423,11.0917,2.8847,True,0.001,10,45
energy_only,2,1.999281,2.9071,0.3593,5.8143,0.7187,True,0.001,10,45
proposed_two_stage,1,0.992486,6.6594,0.8544,6.6594,0.8544,True,0.0007,10,46
random,0,0.0,0.0,0.0,0.0,0.0,True,0.0002,10,46
greedy_latency,2,1.982126,7.4967,1.4402,14.9935,2.8804,False,0.0041,10,46
greedy_energy,2,1.980222,8.4923,1.3968,16.9846,2.7936,False,0.0034,10,46
latency_only,1,0.993824,6.1761,0.8544,6.1761,0.8544,True,0.0007,10,46
energy_only,1,0.999146,6.6594,0.8544,6.6594,0.8544,True,0.0006,10,46
proposed_two_stage,3,2.987674,3.7749,0.3337,11.3248,1.0012,True,0.0015,15,42
random,3,2.967393,10.1096,0.7593,30.3288,2.2779,False,0.0014,15,42
greedy_latency,4,3.972786,6.0439,0.7596,24.1757,3.0384,False,0.0016,15,42
greedy_energy,4,3.905536,22.8564,0.7596,91.4255,3.0384,False,0.002,15,42
latency_only,3,2.988207,3.931,0.3123,11.7931,0.9368,True,0.0014,15,42
energy_only,3,2.998999,3.7749,0.3337,11.3248,1.0012,True,0.0015,15,42
proposed_two_stage,3,2.973269,8.0596,0.8506,24.1789,2.5519,True,0.0016,15,43
random,2,1.961247,17.4909,1.8854,34.9818,3.7709,False,0.0045,15,43
greedy_latency,4,3.920352,16.1589,3.753,64.6357,15.0121,False,0.0041,15,43
greedy_energy,4,3.868055,29.4125,3.5738,117.6498,14.2952,False,0.0074,15,43
latency_only,3,2.981998,6.0006,0.8506,18.0019,2.5519,True,0.0014,15,43
energy_only,3,2.997448,8.0596,0.8506,24.1789,2.5519,True,0.0013,15,43
proposed_two_stage,1,0.993211,5.4352,1.3535,5.4352,1.3535,True,0.0009,15,44
random,1,0.993074,5.7163,1.2097,5.7163,1.2097,True,0.0009,15,44
greedy_latency,2,1.993939,2.762,0.2687,5.524,0.5375,True,0.001,15,44
greedy_energy,2,1.989046,5.2082,0.2687,10.4164,0.5375,True,0.0009,15,44
latency_only,1,0.994099,5.9008,1.3535,5.9008,1.3535,True,0.0007,15,44
energy_only,1,0.998646,5.4352,1.3535,5.4352,1.3535,True,0.0007,15,44
proposed_two_stage,1,0.994449,5.1088,0.4424,5.1088,0.4424,True,0.0008,15,45
random,1,0.994883,4.6742,0.4424,4.6742,0.4424,True,0.0007,15,45
greedy_latency,1,0.995366,4.1913,0.4424,4.1913,0.4424,True,0.0006,15,45
greedy_energy,1,0.994449,5.1088,0.4424,5.1088,0.4424,True,0.0006,15,45
latency_only,1,0.995809,4.1913,0.4424,4.1913,0.4424,True,0.0006,15,45
energy_only,1,0.999558,5.1088,0.4424,5.1088,0.4424,True,0.0006,15,45
proposed_two_stage,1,0.994469,4.6672,0.8639,4.6672,0.8639,True,0.0008,15,46
random,1,0.989145,8.4898,2.3655,8.4898,2.3655,True,0.0008,15,46
greedy_latency,2,1.976746,9.6741,1.9527,19.3482,3.9054,False,0.0036,15,46
greedy_energy,2,1.974841,10.6707,1.9091,21.3414,3.8181,False,0.0039,15,46
latency_only,1,0.995503,4.4967,0.8639,4.4967,0.8639,True,0.0007,15,46
energy_only,1,0.999136,4.6672,0.8639,4.6672,0.8639,True,0.0006,15,46
proposed_two_stage,5,4.972112,4.9812,0.5963,24.9059,2.9817,True,0.0022,20,42
random,3,2.964427,10.309,1.5486,30.927,4.6457,False,0.0072,20,42
greedy_latency,7,6.819635,22.2083,3.558,155.4584,24.9062,False,0.0072,20,42
greedy_energy,7,6.619225,50.9519,3.4445,356.6636,24.1112,False,0.0174,20,42
latency_only,4,3.975081,6.2297,1.0246,24.9189,4.0983,True,0.0021,20,42
